"Parlamentar","Data Desbloqueio","Ano de Exercicio","Unidade Orcamentaria Cod","Unidade Orcamentaria Desc","SubTítulo","Código da Emenda","Nota Dotação","Ds Observação","Código Unidade Gestora","Código Programa Trabalho","Código Natureza Despesa","Vl Solicitado"
"CLÁUDIO ABRANTES","2017/01/20 00:00:00","2017","18101","SECRETARIA DE ESTADO DE  EDUCAÇÃO DO DISTRITO FEDE","CONSTRUÇÃO DE PRÉDIOS E PRÓPRIOS-CONSTRUÇÃO DO MUSEU DA EDUCAÇÃO NA CANDANGOLANDIA-REGIÃO XIX - CANDANGOLÂNDIA","466","284 ","","160101","12 .122.6002.1984.0005","449051","300000"
"CLÁUDIO ABRANTES","2017/01/20 00:00:00","2017","18101","SECRETARIA DE ESTADO DE  EDUCAÇÃO DO DISTRITO FEDE","DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS- DA REGIÃO NORTE DO DISTRITO FEDERAL- REGIÃO NORTE                                                                                                                                               ","469","284 ","","160101","12 .122.6221.2387.0001","335043","300000"
"CLÁUDIO ABRANTES","2017/01/20 00:00:00","2017","18101","SECRETARIA DE ESTADO DE  EDUCAÇÃO DO DISTRITO FEDE","DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS-SE-DISTRITO FEDERAL                                                                                                                                                                              ","5053","284 ","","160101","12 .122.6221.2387.0055","335043","300000"
"CLÁUDIO ABRANTES","2017/01/20 00:00:00","2017","18101","SECRETARIA DE ESTADO DE  EDUCAÇÃO DO DISTRITO FEDE","MODERNIZAÇÃO DE SISTEMA DE INFORMAÇÃO- INTERNET NAS ESCOLAS-DISTRITO FEDERAL                                                                                                                                                                              ","468","284 ","","160101","12 .126.6221.1471.0002","339039","300000"
"CLÁUDIO ABRANTES","2017/01/20 00:00:00","2017","18101","SECRETARIA DE ESTADO DE  EDUCAÇÃO DO DISTRITO FEDE","CONSTRUÇÃO DE UNIDADE DE ENSINO-CONTRUÇÃO DE UNIDADE DE ENSINO DA EDUCAÇÃO INFANTIL-REGIÃO VI - PLANALTINA","467","284 ","","160101","12 .365.6221.5023.0004","449051","300000"
"CLÁUDIO ABRANTES","2017/01/20 00:00:00","2017","34101","SECRETARIA DE ESTADO DE ESPORTE, TURISMO E LAZER D","REALIZAÇÃO DE EVENTOS- PARA PROMOÇÃO DE LAZER EM TODO O DF-DISTRITO FEDERAL                                                                                                                                                                               ","478","284 ","","190107","27 .812.6206.3678.0013","339039","300000"
"CLÁUDIO ABRANTES","2017/01/20 00:00:00","2017","59108","ADMINISTRAÇÃO REGIONAL DE PLANALTINA - RA VI      ","REALIZAÇÃO DE EVENTOS-APOIO À REALIZAÇÃO DA FESTA DO DIVINO DE PLANALTINA- PLANALTINA                                                                                                                                                                     ","475","284 ","","190108","13 .392.6219.3678.0019","339039","300000"
"CLÁUDIO ABRANTES","2017/01/20 00:00:00","2017","16101","SECRETARIA  DE ESTADO DE CULTURA DO DISTRITO FEDER","REALIZAÇÃO DE EVENTOS-APOIO À REALIZAÇÃO DA PAIXÃO DO CRISTO NEGRO-DISTRITO FEDERAL","465","284 ","","190114","13 .392.6219.3678.0020","339039","300000"
"CLÁUDIO ABRANTES","2017/01/20 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","CONSTRUÇÃO DE ESPAÇO CULTURAL-CASA DA CULTURA DE- PLANALTINA                                                                                                                                                                                              ","4023","284 ","","190201","15 .392.6219.5968.0002","449051","300000"
"CLÁUDIO ABRANTES","2017/01/20 00:00:00","2017","22201","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL -","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-CONSTRUÇÃO DE UNIDADES BÁSICAS DE SAÚDE-DISTRITO FEDERAL","582","284 ","","190201","15 .451.6210.1110.0002","449051","300000"
